period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city_x,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,zipcode,city_y,county
12/1/2020,2/28/2021,90,zip code,2,9038,f,Zip Code: 22901,,Virginia,VA,Townhouse,13,322500.0,0.201117318,0.34375,264450.0,-0.072105263,-0.038363636,165.4829545,0.043546864,0.075235162,181.2094156,0.04897855,0.052981054,49,0.256410256,0.53125,49.0,0.256410256,0.53125,30.0,0.111111111,-0.032258065,24.0,-0.111111111,-0.571428571,,,,79.0,5.0,-27.0,0.998709323,0.000960197,0.020718764,0.306122449,-0.078492936,0.056122449,,,,0.020408163,-0.005232862,0.020408163,"Charlottesville, VA",16820,2/10/2025 14:21,22901,Charlottesville,Albemarle
4/1/2021,6/30/2021,90,zip code,2,9057,f,Zip Code: 22937,,Virginia,VA,All Residential,-1,238500.0,-0.2546875,-0.380519481,215000.0,-0.104166667,-0.556701031,193.0183946,0.249133779,-0.114867477,173.0418944,0.058896128,-0.094661794,2,-0.333333333,-0.333333333,2.0,-0.333333333,-0.333333333,7.0,0.75,1.333333333,7.0,0.75,0.166666667,,,,190.5,131.5,46.5,1.047742109,0.048728264,0.14266783,1.0,0.666666667,1.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22937,Esmont,Albemarle
11/1/2018,1/31/2019,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,All Residential,-1,489216.0,0.025213518,-0.105638026,499000.0,0.097426875,-0.00180036,188.9827101,0.005951001,0.129506985,195.3436984,-0.014903225,-0.022723277,49,0.065217391,0.689655172,49.0,0.065217391,0.689655172,57.0,0.14,0.075471698,137.0,-0.074324324,0.087301587,,,,146.0,-20.5,-16.0,0.986339846,-0.002383341,-0.002875961,0.081632653,-0.07054126,-0.021815623,,,,0.020408163,0.020408163,0.020408163,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
11/1/2016,1/31/2017,90,zip code,2,9841,f,Zip Code: 24590,,Virginia,VA,All Residential,-1,164500.0,-0.119379015,0.02876798,158900.0,0.0,-0.201306861,96.94089993,-0.045787203,0.097061749,103.1232546,0.084535103,-0.063284828,21,0.0,-0.086956522,19.0,0.0,-0.136363636,15.0,-0.210526316,-0.25,54.0,-0.1,0.125,,,,100.0,9.0,-146.0,0.970386881,0.011885718,0.009494343,0.19047619,0.142857143,0.103519669,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,24590,Scottsville,Albemarle
10/1/2017,12/31/2017,90,zip code,2,9064,f,Zip Code: 22946,,Virginia,VA,All Residential,-1,225000.0,0.0,,,,,196.6783217,0.0,,,,,1,0.0,,1.0,0.0,,,,,,,,,,,112.0,0.0,,0.978686385,0.0,,0.0,0.0,,,,,0.0,0.0,,"Charlottesville, VA",16820,2/10/2025 14:21,22946,Keene,Albemarle
8/1/2024,10/31/2024,90,zip code,2,9841,f,Zip Code: 24590,,Virginia,VA,Single Family Residential,6,379000.0,-0.118604651,0.075329834,364450.0,0.056376812,0.012642401,210.9267055,-0.071643991,-0.022406566,231.0219277,0.037478826,0.118064933,15,0.153846154,-0.166666667,13.0,-0.277777778,-0.235294118,26.0,-0.103448276,0.625,23.0,0.045454545,0.533333333,,,,10.0,-20.0,-36.5,0.990116516,-0.004604184,-0.007719649,0.333333333,-0.051282051,0.111111111,,,,0.538461538,-0.072649573,0.185520362,"Charlottesville, VA",16820,2/10/2025 14:21,24590,Scottsville,Albemarle
11/1/2015,1/31/2016,90,zip code,2,9048,f,Zip Code: 22911,,Virginia,VA,Single Family Residential,6,385000.0,-0.075426024,-0.035117947,449000.0,0.007856341,0.141041931,132.6259947,-0.049239073,-0.085918962,164.6470588,0.04102714,0.103316664,39,-0.071428571,0.3,38.0,-0.095238095,0.266666667,49.0,-0.075471698,0.361111111,116.0,0.0,0.126213592,,,,119.0,-30.0,-105.5,0.98699332,-0.001567021,0.016405194,0.256410256,0.018315018,-0.076923077,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22911,Zcta 22911,Albemarle
3/1/2024,5/31/2024,90,zip code,2,9038,f,Zip Code: 22901,,Virginia,VA,Townhouse,13,378000.0,0.136842105,-0.056120856,367450.0,-0.0517297,-0.038089005,231.840165,0.039560936,0.050911969,239.4854921,0.004328757,0.15233769,36,0.5,-0.052631579,43.0,0.194444444,-0.085106383,44.0,0.222222222,-0.083333333,8.0,0.333333333,0.0,,,,10.0,5.0,2.0,1.015735842,-0.004146979,0.018864444,0.5,-0.083333333,0.052631579,,,,0.76744186,0.01744186,0.129143988,"Charlottesville, VA",16820,2/10/2025 14:21,22901,Charlottesville,Albemarle
9/1/2013,11/30/2013,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,Single Family Residential,6,441320.0,0.003,0.100880814,457718.0,0.090064301,0.144581145,160.1011759,0.056611924,0.248665542,150.6024096,-0.03211819,-0.045613161,33,-0.175,0.222222222,33.0,-0.175,0.32,25.0,-0.242424242,-0.390243902,96.0,-0.085714286,0.010526316,,,,211.0,51.5,49.0,0.991325804,0.004225399,-0.000474161,0.363636364,0.013636364,-0.006734007,,,,0.03030303,0.00530303,0.03030303,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
2/1/2017,4/30/2017,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,All Residential,-1,453500.0,0.02220449,0.021396396,469000.0,-0.027810023,-0.147037775,172.3886611,0.094837737,-0.004989745,177.6703644,-0.024704187,-0.005940384,44,0.466666667,0.073170732,43.0,0.482758621,0.048780488,119.0,0.144230769,0.081818182,175.0,0.067073171,0.047904192,,,,135.5,-7.0,-32.5,0.993130082,0.004248141,0.000811007,0.227272727,0.060606061,-0.016629712,,,,0.023255814,0.023255814,0.023255814,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
5/1/2014,7/31/2014,90,zip code,2,9071,f,Zip Code: 22959,,Virginia,VA,Single Family Residential,6,355000.0,-0.077922078,0.126984127,199000.0,-0.513447433,-0.373228346,148.4194295,0.0,0.298328342,109.078114,-0.304193644,-0.01400256,3,0.0,-0.4,3.0,0.0,-0.25,3.0,-0.571428571,-0.571428571,11.0,-0.083333333,-0.153846154,,,,65.0,46.0,-34.0,0.96158523,-0.017985592,-0.012653643,0.0,-0.333333333,0.0,,,,0.0,-0.333333333,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22959,Alberene,Albemarle
3/1/2018,5/31/2018,90,zip code,2,9057,f,Zip Code: 22937,,Virginia,VA,Single Family Residential,6,415000.0,0.720207254,1.017501215,259450.0,0.733711995,0.143203349,261.4372239,1.180712438,0.704095359,120.827176,0.357104594,-0.133723864,4,1.0,0.333333333,4.0,1.0,0.333333333,10.0,0.25,0.25,11.0,0.1,-0.266666667,,,,95.0,23.5,13.0,0.938606906,-0.0813065,-0.039921145,0.25,-0.75,0.25,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22937,Esmont,Albemarle
7/1/2020,9/30/2020,90,zip code,2,9055,f,Zip Code: 22935,,Virginia,VA,All Residential,-1,600000.0,-0.294117647,-0.068322981,445000.0,-0.005475472,,252.9787234,-0.066730858,-0.288202722,240.0,0.032369072,,4,1.0,3.0,4.0,1.0,3.0,3.0,-0.25,,1.0,-0.75,-0.5,,,,66.0,-211.0,30.0,0.977173685,0.094765474,0.055857519,0.5,0.5,0.5,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22935,Boonesville,Albemarle
10/1/2014,12/31/2014,90,zip code,2,9062,f,Zip Code: 22943,,Virginia,VA,Single Family Residential,6,694502.0,-0.873726909,,331500.0,-0.712114633,,212.7111792,-0.7343044,,138.6571956,-0.820116481,,3,2.0,,3.0,2.0,,2.0,0.0,,3.0,-0.4,,,,,212.0,-322.0,,0.90837219,0.170117157,,0.333333333,0.333333333,,,,,0.0,0.0,,"Charlottesville, VA",16820,2/10/2025 14:21,22943,Greenwood,Albemarle
9/1/2020,11/30/2020,90,zip code,2,9038,f,Zip Code: 22901,,Virginia,VA,Townhouse,13,279500.0,-0.052542373,0.195721925,278450.0,0.031678399,-0.013987252,155.9385484,-0.03489461,-0.05295026,161.2241978,-0.022156494,-0.021836122,30,-0.142857143,-0.0625,30.0,-0.142857143,-0.0625,32.0,-0.219512195,-0.111111111,45.0,0.097560976,-0.366197183,,,,67.0,0.0,-7.0,0.995506115,-0.002735279,0.012852095,0.3,-0.071428571,0.20625,,,,0.0,0.0,-0.03125,"Charlottesville, VA",16820,2/10/2025 14:21,22901,Charlottesville,Albemarle
